 18 1001
Lastname Firstname
NCAR Research Aviation Facility
72649 19.716217 -156.091995 607.449951
72650 19.716415 -156.093033 615.650024
72651 19.716614 -156.094070 623.599976
72652 19.716814 -156.095123 631.250000
72653 19.717014 -156.096161 638.650024
72654 19.717216 -156.097198 645.949951
72655 19.717419 -156.098236 653.299988
72656 19.717621 -156.099274 660.799988
72657 19.717827 -156.100311 668.449951
72658 19.718033 -156.101349 676.199951
72659 19.718239 -156.102386 684.049988
72660 19.718443 -156.103424 692.049988
72661 19.718647 -156.104462 700.199951
72662 19.718853 -156.105515 708.349976
72663 19.719055 -156.106552 716.400024
72664 19.719257 -156.107590 724.349976
72665 19.719461 -156.108627 732.250000
72666 19.719662 -156.109665 740.050049
72667 19.719860 -156.110703 747.800049
72668 19.720062 -156.111740 755.550049
72669 19.720261 -156.112778 763.200012
72670 19.720459 -156.113815 770.799988
72671 19.720654 -156.114868 778.400024
72672 19.720848 -156.115906 786.099976
72673 19.721046 -156.116959 793.950012
72674 19.721241 -156.118011 801.900024
72675 19.721436 -156.119080 810.050049
72676 19.721634 -156.120132 818.349976
72677 19.721832 -156.121216 826.799988
72678 19.722031 -156.122284 835.400024
72679 19.722233 -156.123352 844.000000
72680 19.722435 -156.124451 852.500000
72681 19.722633 -156.125549 860.900024
72682 19.722834 -156.126648 869.250000
72683 19.723036 -156.127777 877.599976
72684 19.723238 -156.128876 886.000000
72685 19.723440 -156.130005 894.400024
72686 19.723642 -156.131134 902.799988
72687 19.723843 -156.132294 911.150024
72688 19.724045 -156.133423 919.299988
72689 19.724243 -156.134583 927.150024
72690 19.724442 -156.135757 934.849976
72691 19.724640 -156.136932 942.550049
72692 19.724834 -156.138123 950.250000
72693 19.725033 -156.139297 958.000000
72694 19.725227 -156.140503 965.950012
72695 19.725426 -156.141693 974.000000
72696 19.725620 -156.142914 982.099976
72697 19.725819 -156.144135 990.250000
72698 19.726017 -156.145355 998.250000
72699 19.726219 -156.146576 1006.099976
72700 19.726419 -156.147827 1013.950012
72701 19.726622 -156.149078 1021.900024
72702 19.726826 -156.150330 1030.000000
72703 19.727028 -156.151581 1038.300049
72704 19.727234 -156.152832 1046.699951
72705 19.727440 -156.154114 1054.900024
72706 19.727650 -156.155396 1062.750000
72707 19.727859 -156.156677 1070.449951
72708 19.728073 -156.157959 1078.150024
72709 19.728289 -156.159241 1085.900024
72710 19.728504 -156.160553 1093.850098
72711 19.728714 -156.161865 1101.949951
72712 19.728912 -156.163162 1110.099976
72713 19.729088 -156.164490 1118.250000
72714 19.729240 -156.165802 1126.250000
72715 19.729359 -156.167145 1134.050049
72716 19.729435 -156.168472 1141.650024
72717 19.729469 -156.169815 1149.100098
72718 19.729460 -156.171158 1156.550049
72719 19.729401 -156.172501 1164.100098
72720 19.729298 -156.173843 1171.850098
72721 19.729145 -156.175186 1179.850098
72722 19.728951 -156.176514 1188.000000
72723 19.728714 -156.177826 1196.199951
72724 19.728432 -156.179153 1204.449951
72725 19.728109 -156.180450 1212.849976
72726 19.727745 -156.181747 1221.349976
72727 19.727337 -156.183014 1229.849976
72728 19.726889 -156.184280 1238.250000
72729 19.726398 -156.185516 1246.500000
72730 19.725868 -156.186752 1254.649902
72731 19.725300 -156.187958 1262.699951
72732 19.724693 -156.189148 1270.649902
72733 19.724049 -156.190308 1278.399902
72734 19.723368 -156.191437 1286.000000
72735 19.722652 -156.192551 1293.550049
72736 19.721897 -156.193634 1301.250000
72737 19.721109 -156.194702 1309.199951
72738 19.720287 -156.195724 1317.300049
72739 19.719429 -156.196716 1325.500000
72740 19.718542 -156.197678 1333.750000
72741 19.717625 -156.198608 1341.949951
72742 19.716675 -156.199493 1349.949951
72743 19.715702 -156.200363 1357.900024
72744 19.714708 -156.201202 1366.000000
72745 19.713699 -156.201996 1374.300049
72746 19.712677 -156.202789 1382.550049
72747 19.711643 -156.203568 1390.399902
72748 19.710606 -156.204315 1397.849976
72749 19.709558 -156.205078 1405.050049
72750 19.708508 -156.205811 1412.349976
72751 19.707449 -156.206543 1420.000000
72752 19.706387 -156.207275 1427.850098
72753 19.705318 -156.207977 1435.800049
72754 19.704248 -156.208694 1443.500000
72755 19.703175 -156.209396 1450.750000
72756 19.702099 -156.210098 1457.949951
72757 19.701021 -156.210800 1465.349976
72758 19.699940 -156.211487 1473.149902
72759 19.698856 -156.212189 1481.300049
72760 19.697769 -156.212860 1489.650024
72761 19.696680 -156.213562 1497.850098
72762 19.695587 -156.214233 1505.750000
72763 19.694492 -156.214905 1513.699951
72764 19.693396 -156.215591 1521.599976
72765 19.692297 -156.216263 1529.800049
72766 19.691198 -156.216934 1538.349976
72767 19.690098 -156.217590 1546.849976
72768 19.688999 -156.218262 1555.149902
72769 19.687899 -156.218933 1563.099976
72770 19.686802 -156.219604 1570.650024
72771 19.685711 -156.220261 1577.900024
72772 19.684620 -156.220917 1585.199951
72773 19.683533 -156.221588 1592.850098
72774 19.682447 -156.222260 1600.850098
72775 19.681366 -156.222931 1608.900024
72776 19.680283 -156.223572 1616.600098
72777 19.679203 -156.224243 1623.750000
72778 19.678127 -156.224899 1630.699951
72779 19.677053 -156.225555 1637.849976
72780 19.675980 -156.226227 1645.500000
72781 19.674908 -156.226868 1653.650024
72782 19.673836 -156.227509 1661.949951
72783 19.672768 -156.228180 1670.099976
72784 19.671698 -156.228821 1678.000000
72785 19.670631 -156.229462 1685.650024
72786 19.669563 -156.230133 1693.100098
72787 19.668495 -156.230774 1700.699951
72788 19.667423 -156.231415 1708.649902
72789 19.666355 -156.232071 1716.849976
72790 19.665283 -156.232712 1725.099976
72791 19.664211 -156.233353 1733.300049
72792 19.663139 -156.234009 1741.550049
72793 19.662064 -156.234650 1749.750000
72794 19.660988 -156.235291 1757.850098
72795 19.659912 -156.235931 1765.850098
72796 19.658836 -156.236588 1773.800049
72797 19.657759 -156.237244 1781.750000
72798 19.656677 -156.237885 1789.649902
72799 19.655596 -156.238525 1797.399902
72800 19.654510 -156.239182 1805.199951
72801 19.653425 -156.239838 1813.250000
72802 19.652336 -156.240479 1821.300049
72803 19.651247 -156.241135 1829.199951
72804 19.650154 -156.241791 1836.849976
72805 19.649059 -156.242432 1844.250000
72806 19.647959 -156.243088 1851.900024
72807 19.646856 -156.243744 1859.900024
72808 19.645754 -156.244400 1868.199951
72809 19.644650 -156.245056 1876.849976
72810 19.643539 -156.245728 1885.500000
72811 19.642426 -156.246399 1893.949951
72812 19.641312 -156.247055 1902.149902
72813 19.640192 -156.247726 1910.349976
72814 19.639069 -156.248398 1918.449951
72815 19.637943 -156.249069 1926.250000
72816 19.636814 -156.249741 1934.000000
72817 19.635685 -156.250427 1941.949951
72818 19.634550 -156.251099 1950.099976
72819 19.633413 -156.251770 1958.300049
72820 19.632275 -156.252472 1966.600098
72821 19.631130 -156.253143 1974.949951
72822 19.629986 -156.253845 1983.250000
72823 19.628839 -156.254517 1991.550049
72824 19.627689 -156.255219 1999.800049
72825 19.626534 -156.255920 2007.850098
72826 19.625378 -156.256607 2015.750000
72827 19.624218 -156.257309 2023.750000
72828 19.623055 -156.258011 2031.750000
72829 19.621893 -156.258728 2039.750000
72830 19.620728 -156.259430 2047.800049
72831 19.619564 -156.260162 2055.899902
72832 19.618397 -156.260864 2064.149902
72833 19.617229 -156.261597 2072.500000
72834 19.616058 -156.262329 2080.799805
72835 19.614883 -156.263062 2089.100098
72836 19.613712 -156.263794 2097.399902
72837 19.612537 -156.264526 2105.500000
72838 19.611362 -156.265259 2113.600098
72839 19.610188 -156.266022 2121.750000
72840 19.609009 -156.266754 2129.950195
72841 19.607832 -156.267517 2138.200195
72842 19.606655 -156.268265 2146.450195
72843 19.605476 -156.269012 2154.750000
72844 19.604296 -156.269775 2163.000000
72845 19.603119 -156.270538 2171.000000
72846 19.601940 -156.271301 2178.699951
72847 19.600761 -156.272064 2186.300049
72848 19.599586 -156.272858 2193.850098
72849 19.598412 -156.273621 2201.550049
72850 19.597237 -156.274414 2209.449951
72851 19.596064 -156.275192 2217.500000
72852 19.594893 -156.275970 2225.649902
72853 19.593719 -156.276764 2233.799805
72854 19.592548 -156.277557 2242.049805
72855 19.591373 -156.278351 2250.399902
72856 19.590202 -156.279129 2258.850098
72857 19.589029 -156.279922 2267.300049
72858 19.587856 -156.280716 2275.600098
72859 19.586685 -156.281525 2283.699951
72860 19.585512 -156.282318 2291.600098
72861 19.584343 -156.283112 2299.399902
72862 19.583174 -156.283936 2307.399902
72863 19.582008 -156.284729 2315.800049
72864 19.580843 -156.285553 2324.500000
72865 19.579681 -156.286362 2333.149902
72866 19.578520 -156.287170 2341.500000
72867 19.577360 -156.287994 2349.700195
72868 19.576202 -156.288818 2357.800049
72869 19.575043 -156.289627 2365.649902
72870 19.573887 -156.290451 2373.250000
72871 19.572731 -156.291260 2380.699951
72872 19.571575 -156.292084 2388.100098
72873 19.570421 -156.292908 2395.649902
72874 19.569267 -156.293701 2403.350098
72875 19.568111 -156.294525 2411.100098
72876 19.566957 -156.295319 2418.949951
72877 19.565804 -156.296127 2426.949951
72878 19.564651 -156.296936 2435.199951
72879 19.563496 -156.297729 2443.649902
72880 19.562342 -156.298538 2452.250000
72881 19.561188 -156.299347 2460.899902
72882 19.560032 -156.300140 2469.299805
72883 19.558876 -156.300934 2477.399902
72884 19.557716 -156.301727 2485.449951
72885 19.556557 -156.302505 2493.449951
72886 19.555393 -156.303284 2501.449951
72887 19.554232 -156.304077 2509.500000
72888 19.553070 -156.304840 2517.500000
72889 19.551907 -156.305618 2525.500000
72890 19.550739 -156.306381 2533.500000
72891 19.549576 -156.307159 2541.500000
72892 19.548409 -156.307922 2549.600098
72893 19.547241 -156.308670 2557.850098
72894 19.546074 -156.309433 2566.199951
72895 19.544907 -156.310181 2574.399902
72896 19.543739 -156.310944 2582.500000
72897 19.542568 -156.311707 2590.600098
72898 19.541397 -156.312439 2598.500000
72899 19.540226 -156.313171 2606.449951
72900 19.539051 -156.313919 2614.600098
72901 19.537880 -156.314667 2622.899902
72902 19.536705 -156.315399 2631.399902
72903 19.535530 -156.316132 2639.899902
72904 19.534355 -156.316849 2648.250000
72905 19.533176 -156.317581 2656.549805
72906 19.532001 -156.318298 2664.750000
72907 19.530827 -156.319031 2672.899902
72908 19.529652 -156.319763 2681.050049
72909 19.528475 -156.320480 2689.100098
72910 19.527300 -156.321198 2697.149902
72911 19.526125 -156.321930 2705.199951
72912 19.524950 -156.322632 2713.199951
72913 19.523773 -156.323364 2721.149902
72914 19.522598 -156.324066 2729.050049
72915 19.521427 -156.324799 2737.100098
72916 19.520252 -156.325500 2745.199951
72917 19.519077 -156.326218 2753.199951
72918 19.517902 -156.326935 2761.199951
72919 19.516727 -156.327637 2769.350098
72920 19.515549 -156.328339 2777.649902
72921 19.514374 -156.329056 2786.000000
72922 19.513197 -156.329773 2794.299805
72923 19.512020 -156.330475 2802.500000
72924 19.510845 -156.331177 2810.750000
72925 19.509670 -156.331909 2819.000000
72926 19.508495 -156.332611 2827.250000
72927 19.507320 -156.333313 2835.600098
72928 19.506149 -156.334045 2844.149902
72929 19.504974 -156.334778 2852.649902
72930 19.503803 -156.335480 2860.899902
72931 19.502628 -156.336212 2869.000000
72932 19.501455 -156.336945 2876.949951
72933 19.500284 -156.337662 2884.899902
72934 19.499113 -156.338394 2892.850098
72935 19.497942 -156.339127 2900.850098
72936 19.496771 -156.339859 2908.899902
72937 19.495600 -156.340591 2916.899902
72938 19.494431 -156.341339 2924.850098
72939 19.493259 -156.342072 2932.850098
72940 19.492088 -156.342804 2941.100098
72941 19.490921 -156.343567 2949.550049
72942 19.489754 -156.344299 2958.250000
72943 19.488586 -156.345062 2967.100098
72944 19.487423 -156.345810 2975.800049
72945 19.486258 -156.346558 2984.250000
72946 19.485094 -156.347321 2992.399902
72947 19.483932 -156.348083 3000.299805
72948 19.482769 -156.348846 3008.049805
72949 19.481611 -156.349625 3015.699951
72950 19.480455 -156.350403 3023.399902
72951 19.479300 -156.351166 3031.300049
72952 19.478146 -156.351959 3039.300049
72953 19.476994 -156.352737 3047.450195
72954 19.475843 -156.353516 3055.750000
72955 19.474695 -156.354309 3064.149902
72956 19.473549 -156.355103 3072.500000
72957 19.472401 -156.355896 3080.899902
72958 19.471254 -156.356674 3089.299805
72959 19.470106 -156.357468 3097.299805
72960 19.468960 -156.358261 3105.000000
72961 19.467812 -156.359070 3112.500000
72962 19.466665 -156.359863 3119.899902
72963 19.465521 -156.360657 3127.450195
72964 19.464376 -156.361481 3135.300049
72965 19.463230 -156.362274 3143.399902
72966 19.462086 -156.363068 3151.750000
72967 19.460939 -156.363892 3160.399902
72968 19.459793 -156.364685 3169.200195
72969 19.458645 -156.365479 3177.950195
72970 19.457497 -156.366302 3186.550049
72971 19.456348 -156.367096 3195.000000
72972 19.455198 -156.367920 3203.250000
72973 19.454048 -156.368729 3211.300049
72974 19.452900 -156.369537 3219.149902
72975 19.451748 -156.370361 3226.850098
72976 19.450592 -156.371185 3234.500000
72977 19.449440 -156.371994 3242.100098
72978 19.448286 -156.372803 3249.799805
72979 19.447130 -156.373627 3257.649902
72980 19.445972 -156.374451 3265.649902
72981 19.444813 -156.375275 3273.949951
72982 19.443649 -156.376099 3282.549805
72983 19.442486 -156.376923 3291.149902
72984 19.441317 -156.377747 3299.600098
72985 19.440144 -156.378586 3308.000000
72986 19.438969 -156.379425 3316.199951
72987 19.437792 -156.380249 3324.199951
72988 19.436611 -156.381073 3332.299805
72989 19.435429 -156.381927 3340.549805
72990 19.434242 -156.382751 3348.949951
72991 19.433056 -156.383606 3357.549805
72992 19.431864 -156.384430 3366.350098
72993 19.430668 -156.385284 3375.200195
72994 19.429470 -156.386108 3383.800049
72995 19.428268 -156.386963 3392.050049
72996 19.427063 -156.387817 3400.100098
72997 19.425856 -156.388657 3408.100098
72998 19.424646 -156.389511 3416.149902
72999 19.423435 -156.390366 3424.299805
73000 19.422218 -156.391220 3432.600098
73001 19.421000 -156.392075 3441.000000
73002 19.419777 -156.392929 3449.350098
73003 19.418552 -156.393784 3457.649902
73004 19.417324 -156.394638 3465.800049
73005 19.416092 -156.395508 3473.649902
73006 19.414858 -156.396362 3481.199951
73007 19.413620 -156.397217 3488.600098
73008 19.412382 -156.398102 3496.050049
73009 19.411140 -156.398956 3503.700195
73010 19.409897 -156.399841 3511.550049
73011 19.408649 -156.400726 3519.500000
73012 19.407400 -156.401596 3527.649902
73013 19.406149 -156.402466 3535.950195
73014 19.404896 -156.403351 3544.250000
73015 19.403641 -156.404236 3552.500000
73016 19.402382 -156.405121 3560.600098
73017 19.401117 -156.405991 3568.500000
73018 19.399849 -156.406860 3576.399902
73019 19.398575 -156.407745 3584.449951
73020 19.397297 -156.408600 3592.649902
73021 19.396015 -156.409485 3600.950195
73022 19.394730 -156.410339 3609.300049
73023 19.393440 -156.411224 3617.750000
73024 19.392145 -156.412079 3626.199951
73025 19.390846 -156.412933 3634.500000
73026 19.389542 -156.413788 3642.649902
73027 19.388235 -156.414658 3650.750000
73028 19.386925 -156.415497 3658.950195
73029 19.385609 -156.416351 3667.100098
73030 19.384289 -156.417206 3675.149902
73031 19.382967 -156.418060 3683.199951
73032 19.381641 -156.418915 3691.149902
73033 19.380310 -156.419769 3699.250000
73034 19.378977 -156.420624 3707.399902
73035 19.377640 -156.421463 3715.500000
73036 19.376299 -156.422302 3723.500000
73037 19.374954 -156.423157 3731.350098
73038 19.373608 -156.424011 3739.149902
73039 19.372255 -156.424835 3746.949951
73040 19.370899 -156.425690 3754.850098
73041 19.369541 -156.426544 3762.950195
73042 19.368177 -156.427368 3771.250000
73043 19.366810 -156.428207 3779.600098
73044 19.365440 -156.429047 3787.899902
73045 19.364067 -156.429871 3796.050049
73046 19.362690 -156.430725 3804.100098
73047 19.361313 -156.431549 3812.000000
73048 19.359932 -156.432373 3819.799805
73049 19.358547 -156.433228 3827.600098
73050 19.357162 -156.434067 3835.800049
73051 19.355778 -156.434906 3844.350098
73052 19.354389 -156.435760 3852.950195
73053 19.353001 -156.436615 3861.649902
73054 19.351608 -156.437469 3870.300049
73055 19.350216 -156.438324 3878.850098
73056 19.348820 -156.439178 3887.050049
73057 19.347424 -156.440033 3894.949951
73058 19.346024 -156.440903 3902.850098
73059 19.344620 -156.441772 3910.750000
73060 19.343216 -156.442627 3918.649902
73061 19.341808 -156.443481 3926.550049
73062 19.340397 -156.444366 3934.600098
73063 19.338985 -156.445221 3942.799805
73064 19.337570 -156.446106 3951.199951
73065 19.336155 -156.446960 3959.750000
73066 19.334736 -156.447845 3968.149902
73067 19.333317 -156.448715 3976.200195
73068 19.331894 -156.449585 3984.149902
73069 19.330467 -156.450470 3992.100098
73070 19.329037 -156.451340 3999.949951
73071 19.327606 -156.452225 4007.750000
73072 19.326176 -156.453110 4015.550049
73073 19.324741 -156.453979 4023.449951
73074 19.323303 -156.454865 4031.449951
73075 19.321863 -156.455750 4039.600098
73076 19.320419 -156.456635 4047.850098
73077 19.318975 -156.457520 4056.149902
73078 19.317530 -156.458405 4064.500000
73079 19.316082 -156.459305 4072.899902
73080 19.314632 -156.460190 4081.300049
73081 19.313181 -156.461090 4089.550049
73082 19.311726 -156.461975 4097.650391
73083 19.310268 -156.462860 4105.650391
73084 19.308811 -156.463760 4113.600098
73085 19.307348 -156.464661 4121.500000
73086 19.305885 -156.465546 4129.349609
73087 19.304420 -156.466461 4137.299805
73088 19.302954 -156.467346 4145.299805
73089 19.301485 -156.468262 4153.500000
73090 19.300014 -156.469162 4161.900391
73091 19.298542 -156.470062 4170.350098
73092 19.297068 -156.470978 4178.799805
73093 19.295589 -156.471878 4187.100098
73094 19.294111 -156.472778 4195.200195
73095 19.292629 -156.473694 4203.150391
73096 19.291147 -156.474609 4210.950195
73097 19.289661 -156.475525 4218.750000
73098 19.288174 -156.476440 4226.650391
73099 19.286682 -156.477356 4234.549805
73100 19.285191 -156.478271 4242.500000
73101 19.283695 -156.479187 4250.600098
73102 19.282200 -156.480103 4258.750000
73103 19.280701 -156.481018 4266.950195
73104 19.279202 -156.481934 4275.299805
73105 19.277699 -156.482864 4283.750000
73106 19.276196 -156.483795 4292.250000
73107 19.274689 -156.484711 4300.799805
73108 19.273178 -156.485626 4309.350098
73109 19.271669 -156.486572 4317.850098
73110 19.270157 -156.487488 4326.200195
73111 19.268642 -156.488403 4334.250000
73112 19.267126 -156.489349 4341.900391
73113 19.265608 -156.490265 4349.350098
73114 19.264088 -156.491211 4356.900391
73115 19.262562 -156.492142 4364.549805
73116 19.261040 -156.493073 4372.349609
73117 19.259514 -156.494019 4380.399902
73118 19.257986 -156.494949 4388.649902
73119 19.256454 -156.495895 4397.000000
73120 19.254925 -156.496826 4405.549805
73121 19.253391 -156.497772 4414.200195
73122 19.251858 -156.498718 4422.700195
73123 19.250320 -156.499649 4431.099609
73124 19.248783 -156.500595 4439.450195
73125 19.247242 -156.501541 4447.650391
73126 19.245701 -156.502487 4455.799805
73127 19.244158 -156.503448 4463.950195
73128 19.242611 -156.504395 4472.049805
73129 19.241064 -156.505341 4480.150391
73130 19.239515 -156.506287 4488.200195
73131 19.237965 -156.507233 4496.350098
73132 19.236412 -156.508179 4504.649902
73133 19.234859 -156.509140 4513.000000
73134 19.233303 -156.510101 4521.450195
73135 19.231747 -156.511047 4529.799805
73136 19.230186 -156.512009 4537.950195
73137 19.228626 -156.512970 4545.850098
73138 19.227066 -156.513916 4553.500000
73139 19.225502 -156.514877 4561.099609
73140 19.223938 -156.515839 4568.799805
73141 19.222374 -156.516785 4576.700195
73142 19.220808 -156.517761 4584.750000
73143 19.219242 -156.518707 4592.950195
73144 19.217674 -156.519684 4601.299805
73145 19.216108 -156.520630 4609.799805
73146 19.214542 -156.521606 4618.450195
73147 19.212975 -156.522552 4627.149902
73148 19.211407 -156.523529 4635.750000
73149 19.209835 -156.524475 4644.200195
73150 19.208263 -156.525452 4652.450195
73151 19.206692 -156.526428 4660.549805
73152 19.205120 -156.527374 4668.600098
73153 19.203548 -156.528351 4676.600098
73154 19.201977 -156.529297 4684.600098
73155 19.200405 -156.530273 4692.600098
73156 19.198830 -156.531235 4700.549805
73157 19.197256 -156.532196 4708.399902
73158 19.195683 -156.533173 4716.250000
73159 19.194107 -156.534134 4724.100098
73160 19.192532 -156.535095 4731.950195
73161 19.190956 -156.536072 4739.799805
73162 19.189381 -156.537033 4747.650391
73163 19.187803 -156.537994 4755.549805
73164 19.186226 -156.538971 4763.450195
73165 19.184650 -156.539948 4771.500000
73166 19.183071 -156.540924 4779.650391
73167 19.181492 -156.541885 4787.850098
73168 19.179913 -156.542847 4796.149902
73169 19.178333 -156.543823 4804.500000
73170 19.176754 -156.544800 4812.900391
73171 19.175171 -156.545776 4821.299805
73172 19.173588 -156.546753 4829.649902
73173 19.172007 -156.547714 4837.899902
73174 19.170422 -156.548691 4846.000000
73175 19.168839 -156.549667 4853.850098
73176 19.167255 -156.550644 4861.500000
73177 19.165668 -156.551605 4869.149902
73178 19.164085 -156.552582 4876.799805
73179 19.162498 -156.553558 4884.500000
73180 19.160913 -156.554535 4892.299805
73181 19.159327 -156.555511 4900.100098
73182 19.157742 -156.556488 4907.950195
73183 19.156155 -156.557465 4915.849609
73184 19.154568 -156.558441 4923.750000
73185 19.152981 -156.559418 4931.700195
73186 19.151396 -156.560394 4939.650391
73187 19.149809 -156.561371 4947.549805
73188 19.148222 -156.562347 4955.500000
73189 19.146633 -156.563309 4963.500000
73190 19.145046 -156.564285 4971.450195
73191 19.143459 -156.565262 4979.450195
73192 19.141872 -156.566238 4987.549805
73193 19.140285 -156.567215 4995.600098
73194 19.138695 -156.568192 5003.650391
73195 19.137108 -156.569168 5011.750000
73196 19.135517 -156.570145 5019.899902
73197 19.133930 -156.571121 5028.000000
73198 19.132339 -156.572083 5036.049805
73199 19.130749 -156.573059 5044.100098
73200 19.129160 -156.574036 5052.150391
73201 19.127571 -156.575027 5060.250000
73202 19.125980 -156.576004 5068.450195
73203 19.124390 -156.576981 5076.750000
73204 19.122797 -156.577957 5085.099609
73205 19.121206 -156.578934 5093.450195
73206 19.119614 -156.579895 5101.799805
73207 19.118023 -156.580872 5110.149902
73208 19.116432 -156.581848 5118.349609
73209 19.114838 -156.582825 5126.500000
73210 19.113247 -156.583801 5134.700195
73211 19.111652 -156.584778 5142.849609
73212 19.110060 -156.585754 5150.950195
73213 19.108467 -156.586731 5159.049805
73214 19.106876 -156.587708 5167.100098
73215 19.105282 -156.588684 5175.100098
73216 19.103691 -156.589661 5183.100098
73217 19.102097 -156.590652 5191.049805
73218 19.100504 -156.591629 5198.899902
73219 19.098911 -156.592606 5206.750000
73220 19.097319 -156.593582 5214.700195
73221 19.095726 -156.594559 5222.650391
73222 19.094133 -156.595535 5230.549805
73223 19.092539 -156.596512 5238.399902
73224 19.090946 -156.597488 5246.250000
73225 19.089352 -156.598465 5254.200195
73226 19.087757 -156.599442 5262.150391
73227 19.086163 -156.600418 5270.049805
73228 19.084568 -156.601395 5277.950195
73229 19.082973 -156.602371 5285.849609
73230 19.081379 -156.603348 5293.849609
73231 19.079784 -156.604340 5302.049805
73232 19.078190 -156.605316 5310.350098
73233 19.076593 -156.606293 5318.700195
73234 19.074997 -156.607269 5327.000000
73235 19.073402 -156.608246 5335.250000
73236 19.071804 -156.609222 5343.500000
73237 19.070206 -156.610199 5351.700195
73238 19.068611 -156.611176 5359.899902
73239 19.067013 -156.612152 5368.049805
73240 19.065414 -156.613129 5376.150391
73241 19.063816 -156.614105 5384.200195
73242 19.062216 -156.615097 5392.200195
73243 19.060616 -156.616074 5400.150391
73244 19.059017 -156.617050 5408.100098
73245 19.057417 -156.618027 5416.000000
73246 19.055817 -156.619019 5423.849609
73247 19.054218 -156.619995 5431.649902
73248 19.052620 -156.620972 5439.450195
73249 19.051018 -156.621948 5447.349609
73250 19.049417 -156.622925 5455.200195
73251 19.047817 -156.623917 5463.049805
73252 19.046215 -156.624893 5470.950195
73253 19.044617 -156.625885 5478.799805
73254 19.043015 -156.626862 5486.650391
73255 19.041414 -156.627838 5494.650391
73256 19.039812 -156.628815 5502.750000
73257 19.038212 -156.629791 5510.849609
73258 19.036610 -156.630783 5519.000000
73259 19.035007 -156.631760 5527.150391
73260 19.033405 -156.632751 5535.250000
73261 19.031803 -156.633728 5543.399902
73262 19.030201 -156.634705 5551.600098
73263 19.028597 -156.635681 5559.799805
73264 19.026993 -156.636673 5568.000000
