        var_name       |      cal_date       |           cal           
 A2D1604_CH2_1T        | 2008-06-10 20:35:50 | {-0.00168905,1.02568}
 A2D1604_CH3_1T        | 2008-06-10 20:41:04 | {0.0223374,1.02364}
 A2D1604_CH4_1T        | 2008-06-10 20:44:57 | {-0.101919,1.03}

 A2D1603_CH0_1T        | 2008-06-11 14:39:45 | {-0.213408,1.04201}
 A2D1603_CH1_1T        | 2008-06-11 14:42:21 | {-0.149996,1.0475}
 A2D1603_CH2_1T        | 2008-06-11 14:47:25 | {-0.094048,1.0364}
 A2D1603_CH3_1T        | 2008-06-11 14:52:34 | {-0.234355,1.0473}
 A2D1603_CH4_1T        | 2008-06-11 14:55:52 | {-0.159869,1.04172}
 A2D1603_CH5_1T        | 2008-06-11 14:59:16 | {-0.11372,1.03712}
 A2D1603_CH6_1T        | 2008-06-11 15:02:44 | {-0.111743,1.02992}
 A2D1603_CH7_1T        | 2008-06-11 15:05:57 | {-0.144154,1.03514}
 A2D1603_CH0_2F        | 2008-06-11 15:16:10 | {-0.244417,1.04229}
 A2D1603_CH1_2F        | 2008-06-11 15:18:43 | {-0.245018,1.04772}
 A2D1603_CH2_2F        | 2008-06-11 15:21:39 | {-0.151108,1.03677}
 A2D1603_CH3_2F        | 2008-06-11 15:23:47 | {-0.272209,1.04763}
 A2D1603_CH4_2F        | 2008-06-11 15:25:47 | {-0.225153,1.04198}
 A2D1603_CH5_2F        | 2008-06-11 15:28:25 | {-0.194663,1.03719}
 A2D1603_CH6_2F        | 2008-06-11 15:31:01 | {-0.188994,1.02994}
 A2D1603_CH7_2F        | 2008-06-11 15:34:04 | {-0.230583,1.03513}
 A2D1603_CH0_2T        | 2008-06-11 15:40:48 | {-0.106704,1.04234}
 A2D1603_CH1_2T        | 2008-06-11 15:43:19 | {-0.0750467,1.04786}
 A2D1603_CH2_2T        | 2008-06-11 15:45:42 | {-0.047155,1.03694}
 A2D1603_CH3_2T        | 2008-06-11 15:50:55 | {-0.11716,1.04784}
 A2D1603_CH4_2T        | 2008-06-11 15:58:25 | {-0.0799967,1.0422}
 A2D1603_CH5_2T        | 2008-06-11 16:00:33 | {-0.0567126,1.03746}
 A2D1603_CH6_2T        | 2008-06-11 16:03:17 | {-0.0557567,1.03018}
 A2D1603_CH7_2T        | 2008-06-11 16:05:47 | {-0.0718656,1.03538}
 A2D1603_CH0_4F        | 2008-06-11 16:34:45 | {-0.123362,1.0422}
 A2D1603_CH1_4F        | 2008-06-11 16:36:53 | {-0.123438,1.04782}
 A2D1603_CH2_4F        | 2008-06-11 16:40:24 | {-0.0767382,1.03697}
 A2D1603_CH3_4F        | 2008-06-11 16:42:52 | {-0.136872,1.04789}
 A2D1603_CH4_4F        | 2008-06-11 16:45:12 | {-0.113012,1.0423}
 A2D1603_CH5_4F        | 2008-06-11 16:47:30 | {-0.0979933,1.03759}
 A2D1603_CH6_4F        | 2008-06-11 16:50:00 | {-0.0952165,1.03037}
 A2D1603_CH7_4F        | 2008-06-11 16:52:14 | {-0.11596,1.03563}

 A2D1606_CH0_1T        | 2008-06-12 14:13:18 | {-0.206707,1.06424}
 A2D1606_CH1_1T        | 2008-06-12 14:16:10 | {-0.298317,1.07776}
 A2D1606_CH2_1T        | 2008-06-12 14:21:11 | {-0.174691,1.06571}
 A2D1606_CH3_1T        | 2008-06-12 14:23:30 | {-0.203718,1.07062}
 A2D1606_CH4_1T        | 2008-06-12 14:25:45 | {-0.295802,1.07632}
 A2D1606_CH5_1T        | 2008-06-12 14:28:59 | {-0.0837155,1.05365}
 A2D1606_CH6_1T        | 2008-06-12 14:31:57 | {-0.257542,1.06883}
 A2D1606_CH7_1T        | 2008-06-12 14:34:42 | {-0.310902,1.0719}
 A2D1606_CH0_2F        | 2008-06-12 14:41:01 | {-0.275358,1.06384}
 A2D1606_CH1_2F        | 2008-06-12 14:43:05 | {-0.371488,1.07743}
 A2D1606_CH2_2F        | 2008-06-12 14:46:05 | {-0.242581,1.06555}
 A2D1606_CH3_2F        | 2008-06-12 14:48:38 | {-0.267391,1.0706}
 A2D1606_CH4_2F        | 2008-06-12 14:50:48 | {-0.386284,1.07635}
 A2D1606_CH5_2F        | 2008-06-12 14:53:32 | {-0.180438,1.05381}
 A2D1606_CH6_2F        | 2008-06-12 15:24:38 | {-0.333489,1.0689}
 A2D1606_CH7_2F        | 2008-06-12 15:27:09 | {-0.392915,1.07215}
 A2D1606_CH0_2T        | 2008-06-12 15:33:19 | {-0.103235,1.06418}
 A2D1606_CH1_2T        | 2008-06-12 15:37:28 | {-0.14902,1.07767}
 A2D1606_CH2_2T        | 2008-06-12 15:41:08 | {-0.0871051,1.06598}
 A2D1606_CH3_2T        | 2008-06-12 15:44:50 | {-0.101291,1.0709}
 A2D1606_CH4_2T        | 2008-06-12 15:47:31 | {-0.147651,1.07659}
 A2D1606_CH5_2T        | 2008-06-12 15:57:34 | {-0.0414884,1.05417}
 A2D1606_CH6_2T        | 2008-06-12 16:00:19 | {-0.128006,1.06912}
 A2D1606_CH7_2T        | 2008-06-12 16:02:54 | {-0.155148,1.07235}
 A2D1606_CH0_4F        | 2008-06-12 16:21:05 | {-0.137576,1.06436}
 A2D1606_CH1_4F        | 2008-06-12 16:24:07 | {-0.185567,1.07787}
 A2D1606_CH2_4F        | 2008-06-12 16:27:40 | {-0.121308,1.06609}
 A2D1606_CH3_4F        | 2008-06-12 16:29:56 | {-0.133377,1.07123}
 A2D1606_CH4_4F        | 2008-06-12 16:33:09 | {-0.193133,1.07692}
 A2D1606_CH5_4F        | 2008-06-12 16:38:14 | {-0.0899804,1.05432}
 A2D1606_CH6_4F        | 2008-06-12 16:42:46 | {-0.166417,1.06925}
 A2D1606_CH7_4F        | 2008-06-12 16:44:59 | {-0.196289,1.07239}

 A2D1609_CH0_1T        | 2008-06-12 18:33:12 | {-0.424164,1.10411}
 A2D1609_CH1_1T        | 2008-06-12 18:37:13 | {-0.408018,1.10685}
 A2D1609_CH2_1T        | 2008-06-12 18:39:38 | {-0.468193,1.11413}
 A2D1609_CH3_1T        | 2008-06-12 18:42:12 | {-0.337346,1.09824}
 A2D1609_CH4_1T        | 2008-06-12 18:44:33 | {-0.284811,1.09222}
 A2D1609_CH5_1T        | 2008-06-12 18:46:57 | {-0.140352,1.08099}
 A2D1609_CH6_1T        | 2008-06-12 18:49:48 | {-0.29536,1.09444}
 A2D1609_CH7_1T        | 2008-06-12 18:52:19 | {-0.25129,1.09396}
 A2D1609_CH0_2F        | 2008-06-12 19:01:28 | {-0.471577,1.10442}
 A2D1609_CH1_2F        | 2008-06-12 19:04:09 | {-0.471334,1.10692}
 A2D1609_CH2_2F        | 2008-06-12 19:06:22 | {-0.537876,1.11423}
 A2D1609_CH3_2F        | 2008-06-12 19:08:33 | {-0.402957,1.09837}
 A2D1609_CH4_2F        | 2008-06-12 19:10:47 | {-0.375193,1.09224}
 A2D1609_CH5_2F        | 2008-06-12 19:14:20 | {-0.244113,1.08126}
 A2D1609_CH6_2F        | 2008-06-12 19:17:06 | {-0.365245,1.09453}
 A2D1609_CH7_2F        | 2008-06-12 19:19:23 | {-0.317034,1.09417}
 A2D1609_CH0_2T        | 2008-06-12 19:24:33 | {-0.212758,1.10451}
 A2D1609_CH1_2T        | 2008-06-12 19:27:10 | {-0.20394,1.10725}
 A2D1609_CH2_2T        | 2008-06-12 19:30:23 | {-0.233972,1.11445}
 A2D1609_CH3_2T        | 2008-06-12 19:33:23 | {-0.168468,1.09866}
 A2D1609_CH4_2T        | 2008-06-12 19:35:51 | {-0.142334,1.09253}
 A2D1609_CH5_2T        | 2008-06-12 19:39:04 | {-0.0697306,1.08127}
 A2D1609_CH6_2T        | 2008-06-12 19:41:43 | {-0.147292,1.09481}
 A2D1609_CH7_2T        | 2008-06-12 19:44:20 | {-0.12558,1.09448}
 A2D1609_CH0_4F        | 2008-06-12 19:50:50 | {-0.236264,1.10469}
 A2D1609_CH1_4F        | 2008-06-12 19:53:01 | {-0.235658,1.10722}
 A2D1609_CH2_4F        | 2008-06-12 19:55:26 | {-0.268823,1.11443}
 A2D1609_CH3_4F        | 2008-06-12 19:57:46 | {-0.201599,1.09876}
 A2D1609_CH4_4F        | 2008-06-12 19:59:51 | {-0.187746,1.09273}
 A2D1609_CH5_4F        | 2008-06-12 20:02:04 | {-0.121825,1.08139}
 A2D1609_CH6_4F        | 2008-06-12 20:04:49 | {-0.182899,1.09486}
 A2D1609_CH7_4F        | 2008-06-12 20:07:00 | {-0.158655,1.09441}

 A2D1607_CH0_1T        | 2008-06-13 19:51:14 | {-0.278195,1.04657}
 A2D1607_CH1_1T        | 2008-06-13 19:53:19 | {-0.105639,1.03231}
 A2D1607_CH2_1T        | 2008-06-13 19:55:28 | {-0.0461438,1.03059}
 A2D1607_CH3_1T        | 2008-06-13 19:57:54 | {-0.281683,1.04689}
 A2D1607_CH4_1T        | 2008-06-13 20:00:24 | {-0.228014,1.03835}
 A2D1607_CH5_1T        | 2008-06-13 20:02:53 | {-0.310201,1.04807}
 A2D1607_CH6_1T        | 2008-06-13 20:04:52 | {-0.00497405,1.01624}
 A2D1607_CH7_1T        | 2008-06-13 20:07:15 | {-0.329159,1.04616}
 A2D1607_CH0_2F        | 2008-06-13 20:14:40 | {-0.356108,1.04643}
 A2D1607_CH1_2F        | 2008-06-13 20:17:41 | {-0.177436,1.03216}
 A2D1607_CH2_2F        | 2008-06-13 20:21:34 | {-0.150521,1.03073}
 A2D1607_CH3_2F        | 2008-06-13 20:24:11 | {-0.349216,1.0471}
 A2D1607_CH4_2F        | 2008-06-13 20:26:12 | {-0.293862,1.03872}
 A2D1607_CH5_2F        | 2008-06-13 20:29:51 | {-0.401902,1.04808}
 A2D1607_CH6_2F        | 2008-06-13 20:33:18 | {-0.0873752,1.01627}
 A2D1607_CH7_2F        | 2008-06-13 20:35:18 | {-0.401805,1.04623}
 A2D1607_CH0_2T        | 2008-06-13 20:40:13 | {-0.139798,1.04668}
 A2D1607_CH1_2T        | 2008-06-13 20:41:59 | {-0.0531613,1.03244}
 A2D1607_CH2_2T        | 2008-06-13 20:44:02 | {-0.0235088,1.03094}
 A2D1607_CH3_2T        | 2008-06-13 20:48:28 | {-0.1414,1.04741}
 A2D1607_CH4_2T        | 2008-06-13 20:50:24 | {-0.114588,1.03894}
 A2D1607_CH5_2T        | 2008-06-13 20:52:15 | {-0.155244,1.04859}
 A2D1607_CH6_2T        | 2008-06-13 20:55:20 | {-0.00264349,1.01671}
 A2D1607_CH7_2T        | 2008-06-13 20:59:28 | {-0.165137,1.04669}
 A2D1607_CH0_4F        | 2008-06-13 21:36:27 | {-0.179384,1.04718}
 A2D1607_CH1_4F        | 2008-06-13 21:38:42 | {-0.0898634,1.03274}
 A2D1607_CH2_4F        | 2008-06-13 21:41:06 | {-0.076646,1.03108}
 A2D1607_CH3_4F        | 2008-06-13 21:43:15 | {-0.176397,1.04738}
 A2D1607_CH4_4F        | 2008-06-13 21:45:21 | {-0.148628,1.03901}
 A2D1607_CH5_4F        | 2008-06-13 21:47:48 | {-0.202676,1.04867}
 A2D1607_CH6_4F        | 2008-06-13 21:49:23 | {-0.0449167,1.0167}
 A2D1607_CH7_4F        | 2008-06-13 21:52:16 | {-0.202776,1.04683}

 A2D1608_CH0_1T        | 2008-06-16 19:18:50 | {-0.209779,1.04257}
 A2D1608_CH1_1T        | 2008-06-16 19:20:57 | {-0.162575,1.03262}
 A2D1608_CH2_1T        | 2008-06-16 19:22:58 | {-0.0147511,1.01851}
 A2D1608_CH3_1T        | 2008-06-16 19:25:15 | {-0.181113,1.03867}
 A2D1608_CH4_1T        | 2008-06-16 19:27:21 | {-0.0575122,1.01969}
 A2D1608_CH5_1T        | 2008-06-16 19:29:39 | {0.0372762,1.01238}
 A2D1608_CH6_1T        | 2008-06-16 19:32:01 | {-0.120431,1.02378}
 A2D1608_CH7_1T        | 2008-06-16 19:34:03 | {-0.213427,1.03353}
 A2D1608_CH0_2F        | 2008-06-16 19:44:36 | {-0.29458,1.04255}
 A2D1608_CH1_2F        | 2008-06-16 19:47:04 | {-0.204357,1.0325}
 A2D1608_CH2_2F        | 2008-06-16 19:49:09 | {-0.0752561,1.01848}
 A2D1608_CH3_2F        | 2008-06-16 19:51:59 | {-0.248792,1.03869}
 A2D1608_CH4_2F        | 2008-06-16 20:10:02 | {-0.122912,1.01981}
 A2D1608_CH5_2F        | 2008-06-16 20:12:17 | {-0.039848,1.01249}
 A2D1608_CH6_2F        | 2008-06-16 20:14:32 | {-0.186021,1.02392}
 A2D1608_CH7_2F        | 2008-06-16 20:16:59 | {-0.278218,1.03373}
 A2D1608_CH0_2T        | 2008-06-16 20:37:15 | {-0.104802,1.04284}
 A2D1608_CH1_2T        | 2008-06-16 20:40:34 | {-0.081323,1.03279}
 A2D1608_CH2_2T        | 2008-06-16 20:42:51 | {-0.00726077,1.0187}
 A2D1608_CH3_2T        | 2008-06-16 20:44:39 | {-0.090629,1.03899}
 A2D1608_CH4_2T        | 2008-06-16 20:46:34 | {-0.0288906,1.01998}
 A2D1608_CH5_2T        | 2008-06-16 20:48:25 | {0.0185357,1.01255}
 A2D1608_CH6_2T        | 2008-06-16 20:50:47 | {-0.060743,1.02402}
 A2D1608_CH7_2T        | 2008-06-16 20:53:10 | {-0.106931,1.03382}
 A2D1608_CH0_4F        | 2008-06-16 20:58:37 | {-0.147069,1.04245}
 A2D1608_CH1_4F        | 2008-06-16 21:00:23 | {-0.10203,1.03277}
 A2D1608_CH2_4F        | 2008-06-16 21:02:14 | {-0.0375501,1.01873}
 A2D1608_CH3_4F        | 2008-06-16 21:04:13 | {-0.124347,1.03908}
 A2D1608_CH4_4F        | 2008-06-16 21:06:05 | {-0.0615512,1.02006}
 A2D1608_CH5_4F        | 2008-06-16 21:08:49 | {-0.0197209,1.01265}
 A2D1608_CH6_4F        | 2008-06-16 21:11:06 | {-0.0931866,1.0241}
 A2D1608_CH7_4F        | 2008-06-16 21:12:54 | {-0.139025,1.03394}

 A2D1605_CH0_1T        | 2008-07-21 17:04:39 | {-0.185174,1.03347}
 A2D1605_CH1_1T        | 2008-07-21 17:07:44 | {-0.11323,1.02793}
 A2D1605_CH2_1T        | 2008-07-21 17:10:25 | {-0.0212103,1.01953}
 A2D1605_CH3_1T        | 2008-07-21 17:13:18 | {-0.218648,1.03357}
 A2D1605_CH4_1T        | 2008-07-21 17:16:57 | {-0.266871,1.03829}
 A2D1605_CH5_1T        | 2008-07-21 17:19:40 | {-0.294825,1.03891}
 A2D1605_CH6_1T        | 2008-07-21 17:22:00 | {-0.213178,1.03423}
 A2D1605_CH7_1T        | 2008-07-21 17:24:53 | {-0.049114,1.01973}
 A2D1605_CH0_2F        | 2008-07-21 17:31:18 | {-0.243167,1.03311}
 A2D1605_CH1_2F        | 2008-07-21 17:34:32 | {-0.169632,1.02771}
 A2D1605_CH2_2F        | 2008-07-21 17:37:45 | {-0.0935705,1.01929}
 A2D1605_CH3_2F        | 2008-07-21 17:40:52 | {-0.2767,1.03333}
 A2D1605_CH4_2F        | 2008-07-21 17:43:52 | {-0.308587,1.03811}
 A2D1605_CH5_2F        | 2008-07-21 17:46:49 | {-0.354354,1.03891}
 A2D1605_CH6_2F        | 2008-07-21 17:50:15 | {-0.294974,1.03421}
 A2D1605_CH7_2F        | 2008-07-21 17:54:45 | {-0.128721,1.01964}
 A2D1605_CH0_2T        | 2008-07-21 18:01:56 | {-0.0928599,1.0335}
 A2D1605_CH1_2T        | 2008-07-21 18:05:44 | {-0.0565683,1.0282}
 A2D1605_CH2_2T        | 2008-07-21 18:19:25 | {-0.010577,1.01996}
 A2D1605_CH3_2T        | 2008-07-21 18:23:20 | {-0.108968,1.03399}
 A2D1605_CH4_2T        | 2008-07-21 18:25:52 | {-0.133443,1.03868}
 A2D1605_CH5_2T        | 2008-07-21 19:01:35 | {-0.147279,1.03937}
 A2D1605_CH6_2T        | 2008-07-21 19:03:55 | {-0.106549,1.03476}
 A2D1605_CH7_2T        | 2008-07-21 19:06:27 | {-0.0243218,1.02018}
 A2D1605_CH0_4F        | 2008-07-21 19:19:42 | {-0.12144,1.03381}
 A2D1605_CH1_4F        | 2008-07-21 19:23:46 | {-0.0849296,1.02817}
 A2D1605_CH2_4F        | 2008-07-21 19:26:30 | {-0.0469677,1.0196}
 A2D1605_CH3_4F        | 2008-07-21 19:29:30 | {-0.138691,1.03359}
 A2D1605_CH4_4F        | 2008-07-21 19:32:34 | {-0.154468,1.03823}
 A2D1605_CH5_4F        | 2008-07-21 19:34:58 | {-0.177515,1.03897}
 A2D1605_CH6_4F        | 2008-07-21 19:37:23 | {-0.148091,1.03427}
 A2D1605_CH7_4F        | 2008-07-21 19:41:13 | {-0.0646968,1.01975}

 A2D007_CH0_1T         | 2008-07-22 16:27:56 | {-0.398951,1.10966}
 A2D007_CH1_1T         | 2008-07-22 16:30:35 | {-0.260416,1.09653}
 A2D007_CH2_1T         | 2008-07-22 16:32:58 | {-0.210912,1.09946}
 A2D007_CH3_1T         | 2008-07-22 16:39:14 | {-0.299751,1.10408}
 A2D007_CH4_1T         | 2008-07-22 16:45:11 | {-0.267981,1.10092}
 A2D007_CH5_1T         | 2008-07-22 16:48:43 | {-0.199685,1.09497}
 A2D007_CH6_1T         | 2008-07-22 16:52:16 | {-0.336515,1.10345}
 A2D007_CH7_1T         | 2008-07-22 16:55:44 | {-0.177838,1.09076}
 A2D007_CH0_2F         | 2008-07-22 17:05:17 | {-0.455501,1.10931}
 A2D007_CH1_2F         | 2008-07-22 17:08:05 | {-0.329039,1.09625}
 A2D007_CH2_2F         | 2008-07-22 17:11:24 | {-0.301954,1.09925}
 A2D007_CH3_2F         | 2008-07-22 17:14:38 | {-0.36305,1.10397}
 A2D007_CH4_2F         | 2008-07-22 17:18:29 | {-0.34528,1.10052}
 A2D007_CH5_2F         | 2008-07-22 17:21:10 | {-0.288418,1.09467}
 A2D007_CH6_2F         | 2008-07-22 17:23:52 | {-0.406078,1.10325}
 A2D007_CH7_2F         | 2008-07-22 17:26:18 | {-0.275329,1.09056}
 A2D007_CH0_2T         | 2008-07-22 17:31:54 | {-0.199683,1.1095}
 A2D007_CH1_2T         | 2008-07-22 17:35:54 | {-0.130324,1.09648}
 A2D007_CH2_2T         | 2008-07-22 17:38:30 | {-0.105621,1.09949}
 A2D007_CH3_2T         | 2008-07-22 17:40:54 | {-0.150112,1.10417}
 A2D007_CH4_2T         | 2008-07-22 17:44:23 | {-0.134249,1.10085}
 A2D007_CH5_2T         | 2008-07-22 17:47:11 | {-0.0998825,1.09498}
 A2D007_CH6_2T         | 2008-07-22 17:49:16 | {-0.168186,1.10346}
 A2D007_CH7_2T         | 2008-07-22 17:51:48 | {-0.0891249,1.09079}
 A2D007_CH0_4F         | 2008-07-22 17:56:51 | {-0.227966,1.10944}
 A2D007_CH1_4F         | 2008-07-22 17:59:07 | {-0.164813,1.09636}
 A2D007_CH2_4F         | 2008-07-22 18:01:09 | {-0.151236,1.0994}
 A2D007_CH3_4F         | 2008-07-22 18:04:15 | {-0.181704,1.10402}
 A2D007_CH4_4F         | 2008-07-22 18:06:51 | {-0.172991,1.10087}
 A2D007_CH5_4F         | 2008-07-22 18:09:47 | {-0.144429,1.09491}
 A2D007_CH6_4F         | 2008-07-22 18:12:17 | {-0.203281,1.10351}
 A2D007_CH7_4F         | 2008-07-22 18:14:40 | {-0.13804,1.09074}

 A2D001_CH0_1T         | 2008-07-23 14:40:04 | {-0.205558,1.05881}
 A2D001_CH1_1T         | 2008-07-23 14:43:12 | {-0.298561,1.06419}
 A2D001_CH2_1T         | 2008-07-23 14:46:27 | {-0.118608,1.04368}
 A2D001_CH3_1T         | 2008-07-23 14:50:08 | {-0.297281,1.07202}
 A2D001_CH4_1T         | 2008-07-23 14:52:48 | {-0.298834,1.06896}
 A2D001_CH5_1T         | 2008-07-23 14:55:49 | {-0.0930275,1.05034}
 A2D001_CH6_1T         | 2008-07-23 14:59:16 | {-0.262919,1.05746}
 A2D001_CH7_1T         | 2008-07-23 15:03:20 | {-0.269293,1.06074}
 A2D001_CH0_2F         | 2008-07-23 15:19:50 | {-0.285328,1.05886}
 A2D001_CH1_2F         | 2008-07-23 15:23:11 | {-0.363008,1.06412}
 A2D001_CH2_2F         | 2008-07-23 15:25:53 | {-0.152082,1.04339}
 A2D001_CH3_2F         | 2008-07-23 15:39:09 | {-0.394932,1.072}
 A2D001_CH4_2F         | 2008-07-23 15:44:14 | {-0.367555,1.06855}
 A2D001_CH5_2F         | 2008-07-23 15:49:26 | {-0.176711,1.04998}
 A2D001_CH6_2F         | 2008-07-23 15:53:32 | {-0.317107,1.05714}
 A2D001_CH7_2F         | 2008-07-23 15:57:38 | {-0.338776,1.06047}
 A2D001_CH0_2T         | 2008-07-23 16:17:44 | {-0.102623,1.05912}
 A2D001_CH1_2T         | 2008-07-23 16:21:27 | {-0.149322,1.06433}
 A2D001_CH2_2T         | 2008-07-23 16:24:50 | {-0.0592993,1.04368}
 A2D001_CH3_2T         | 2008-07-23 16:28:18 | {-0.148749,1.07229}
 A2D001_CH4_2T         | 2008-07-23 16:33:27 | {-0.149425,1.06892}
 A2D001_CH5_2T         | 2008-07-23 16:37:30 | {-0.046689,1.05033}
 A2D001_CH6_2T         | 2008-07-23 16:41:56 | {-0.131441,1.05742}
 A2D001_CH7_2T         | 2008-07-23 16:47:14 | {-0.13481,1.06077}
 A2D001_CH0_4F         | 2008-07-23 16:53:19 | {-0.14292,1.05911}
 A2D001_CH1_4F         | 2008-07-23 16:56:04 | {-0.181801,1.06433}
 A2D001_CH2_4F         | 2008-07-23 17:01:10 | {-0.0764917,1.04359}
 A2D001_CH3_4F         | 2008-07-23 17:04:37 | {-0.197833,1.07214}
 A2D001_CH4_4F         | 2008-07-23 17:07:20 | {-0.183958,1.0689}
 A2D001_CH5_4F         | 2008-07-23 17:10:35 | {-0.0886837,1.05024}
 A2D001_CH6_4F         | 2008-07-23 17:14:36 | {-0.158786,1.05745}
